epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.499,1.26839,3.717,1.14886,0.00243,0.69675,0.20956,0.13311,1.1304,4.09979,1.05286,0.000545744,0.000545744,0.000545744
2,647.505,1.2139,2.74231,1.12461,0.40385,0.60031,0.38072,0.246,1.21071,2.99451,1.14695,0.000992371,0.000992371,0.000992371
3,993.708,1.19138,2.28465,1.1287,0.06999,0.32703,0.06164,0.03379,1.21327,4.6581,1.16752,0.00132898,0.00132898,0.00132898
4,1205.81,1.14317,1.97371,1.10561,0.4616,0.58767,0.41497,0.27479,1.2421,2.08238,1.14605,0.0011719,0.0011719,0.0011719
5,1550.28,1.09034,1.72883,1.0767,0.45352,0.83219,0.48892,0.33714,1.05408,1.67929,1.04076,0.00100687,0.00100687,0.00100687
6,1849.09,1.03779,1.56079,1.05834,0.44747,0.81814,0.47781,0.33102,1.03789,1.59207,1.05279,0.000841835,0.000841835,0.000841835
7,2244.79,1.00438,1.44547,1.02097,0.46014,0.83343,0.49981,0.35321,0.99861,1.46242,1.02015,0.000676802,0.000676802,0.000676802
8,2558.09,0.96692,1.36178,1.01206,0.48103,0.79607,0.5073,0.37164,0.98815,1.45748,1.00715,0.000511769,0.000511769,0.000511769
9,2903.53,0.94302,1.31092,0.99629,0.46784,0.84319,0.49337,0.35478,0.94715,1.35903,0.99058,0.000346736,0.000346736,0.000346736
10,3252.21,0.91073,1.25754,0.98967,0.47024,0.83498,0.50453,0.36659,0.92839,1.33533,0.98644,0.000181703,0.000181703,0.000181703
